time(ms),T1,R1,T2,R2,,
712.33,104.43,9.61,104.13,9.8,,
712.36,104.38,9.73,104.14,9.8,,
712.37,104.45,9.73,104.33,9.8,,
712.4,104.2,9.74,104.13,9.8,,
712.41,104.43,9.74,104.33,9.8,,
712.44,104.19,9.61,104.16,9.81,,
712.45,104.23,9.61,104.31,9.81,,
712.47,104.22,9.73,104.13,9.8,,
712.48,104.42,9.73,104.34,9.8,,
712.51,104.33,9.74,104.31,9.8,,
712.52,104.4,9.74,104.31,9.8,,
712.55,104.4,9.73,104.36,9.8,,
712.56,104.27,9.73,104.41,9.8,,
712.59,104.22,9.61,104.13,9.8,,
712.6,104.2,9.61,104.36,9.8,,
712.63,104.35,9.74,104.33,9.8,,
712.64,104.22,9.74,104.14,9.8,,
712.66,104.51,9.74,104.53,9.8,,
712.68,104.4,9.74,104.36,9.8,,
712.7,104.22,9.6,104.33,9.8,,
712.71,104.23,9.6,104.36,9.8,,
712.74,104.38,9.61,104.36,9.8,,
712.75,104.38,9.61,104.16,9.8,,
712.78,104.25,9.73,104.13,9.79,,
712.79,104.22,9.73,104.16,9.79,,
712.82,104.38,9.61,104.16,9.81,,
712.83,104.45,9.61,104.13,9.81,,
712.85,104.3,9.73,104.33,9.8,,
712.87,104.38,9.73,104.34,9.8,,
712.89,104.17,9.61,104.31,9.8,,
712.9,104.42,9.61,104.36,9.8,,
712.93,104.4,9.74,104.51,9.8,,
712.94,104.22,9.74,104.36,9.8,,
712.97,104.38,9.61,104.34,9.81,,
712.98,104.27,9.61,104.36,9.81,,
713.01,104,9.6,104.56,9.8,,
713.02,104.23,9.6,104.33,9.8,,
713.04,104.42,9.73,104.13,9.79,,
713.06,104.42,9.73,104.36,9.79,,
713.08,104.19,9.76,104.14,9.81,,
713.09,104.22,9.76,104.31,9.81,,
713.12,104.23,9.74,104.36,9.81,,
713.13,104.4,9.74,104.51,9.81,,
713.16,104.42,9.61,104.33,9.8,,
713.17,104.22,9.61,104.33,9.8,,
713.2,104.42,9.74,104.36,9.8,,
713.21,104.46,9.74,104.36,9.8,,
713.23,104.2,9.74,104.34,9.8,,
713.25,104.48,9.74,104.36,9.8,,
713.27,104.37,9.74,104.34,9.8,,
713.28,104.45,9.74,104.11,9.8,,
713.31,104.42,9.6,104.13,9.8,,
713.32,104.42,9.6,104.16,9.8,,
713.35,104.37,9.74,104.33,9.8,,
713.36,104.43,9.74,104.34,9.8,,
713.39,104.19,9.73,104.19,9.8,,
713.4,104.38,9.73,104.49,9.8,,
713.42,104.4,9.74,104.33,9.8,,
713.44,104.42,9.74,104.53,9.8,,
713.46,104.57,9.61,104.17,9.8,,
713.48,104.46,9.61,104.33,9.8,,
713.5,104.38,9.74,104.36,9.8,,
